Packet ID                             Action          Delay(in Sec)       Starting Time    Current_time(in Sec)    Switch 1 Queue Length    Switch 2 Queue Length
------------------------------------  --------------  ------------------  ---------------  ----------------------  -----------------------  -----------------------
episode = 0
f8ac9f88-8d90-4679-b8f5-b17125e04e73  es2 to switch2  2.5                 33               82.5                    30                       13
6ebe2220-c193-473b-9a64-3ab7c867ce50  es2 to switch2  2.5                 34               85.0                    30                       14
0b15ae61-de7e-49c0-aa18-d5c063530c85  es2 to switch2  2.5                 35               87.5                    30                       15
a0b1cce3-6926-41e7-bf94-a1b83feae53e  es2 to switch2  2.5                 36               90.0                    30                       16
dfbd2527-8860-4966-8488-35611f9bb701  es2 to switch2  2.5                 37               92.5                    30                       17
ac65cc7c-5b5a-4135-b84a-5bf180eac750  es2 to switch2  2.5                 38               95.0                    30                       18
27b83f2a-5f53-415c-8c10-a0dd94677419  es2 to switch2  2.5                 39               97.5                    30                       19
382f018c-a99a-4911-99f4-6b45c2ed2669  es2 to switch2  2.5                 40               100.0                   30                       20
4cfafff9-d5c2-4d7c-8db7-a4a1c555ab8e  es2 to switch2  2.5                 41               102.5                   30                       21
1ee990fb-794a-42a8-8b4f-c298020b99d5  es2 to switch2  2.5                 42               105.0                   30                       22
83528d80-39f0-4a4d-9d3b-e3296002b291  es2 to switch2  2.5                 43               107.5                   30                       23
ee29d4d3-80c9-420e-80d3-8aed288988aa  es2 to switch2  2.5                 44               110.0                   30                       24
3f502881-eafc-4077-95c2-8bc5d9b45cb5  es2 to switch2  2.5                 45               112.5                   30                       25
541d8e1b-24e4-45a8-99da-21f542c7697f  es2 to switch2  2.5                 46               115.0                   30                       26
646e64e9-1083-45c2-8bf8-19f80e2ea8c6  es2 to switch2  2.5                 47               117.5                   30                       27
e4d3f9c0-7ee2-4620-9ed8-fa46872a00ba  es2 to switch2  2.5                 48               120.0                   30                       28
b805bd16-f8cb-43ad-b018-4095f468edb6  es2 to switch2  2.5                 49               122.5                   30                       29
f71dfb0b-a078-4bf0-9233-5d6e47e3f9ff  es2 to switch2  2.5                 50               125.0                   30                       30
